region,gnp
Caribbean,828.0
Caribbean,63.2
Caribbean,1941.0
Caribbean,612.0
Caribbean,3527.0
Caribbean,2223.0
Caribbean,17843.0
Caribbean,1263.0
Caribbean,256.0
Caribbean,15846.0
Caribbean,3501.0
Caribbean,318.0
Caribbean,3459.0
Caribbean,6871.0
Caribbean,299.0
Caribbean,571.0
Caribbean,109.0
Caribbean,2731.0
Caribbean,34100.0
Caribbean,96.0
Caribbean,6232.0
Caribbean,285.0
Caribbean,612.0
Caribbean,0.0
South America,340238.0
South America,8571.0
South America,776739.0
South America,72949.0
South America,102896.0
South America,19770.0
South America,0.0
South America,681.0
South America,722.0
South America,64140.0
South America,8444.0
South America,870.0
South America,20831.0
South America,95023.0
